Disease,Signs and Symptoms,Treatment,Prevention and Control
,Acute Respiratory Infection (ARI),"Cough accompanied by short rapid breathing, fever, difficulty of breathing ","If antibiotic is needed, health workers must be consulted. Supportive measures include increased oral fluids, continued feeding, and anti-pyretics."
Influenza A (H1N1),"Fever, headache, fatigue, muscle or joint pains, lack of appetite, runny nose, sore throat, cough, diarrhea, nausea, vomiting ","Oseltamivir or zanamivir are recommended drugs (consult doctor first) . If flu-like symptoms occur, consult doctor immediately.","Cover nose and mouth when coughing/sneezing. Wash hands regularly. Avoid touching eyes, nose, or mouth. Increase body resistance (sleep, exercise, stress management, fluids, nutritious food) . Practice social distancing."
Bird Flu (Avian Influenza),"Fever, body weakness or muscle pain, cough, sore throat, sore eyes, diarrhea, difficulty of breathing in severe cases ","Antiviral drugs, such as oseltamivir, stop the progress of illness if given within the first 2 days of fever.",Wash hands thoroughly after handling chicken. Cook chicken thoroughly. Do not catch or keep wild birds . Do not handle sick/dead birds with bare hands. Use gloves/masks.
Capillariasis,"Abdominal pain, chronic diarrhea (>2 weeks), loss of appetite, weight loss, vomiting, swelling of the body, muscle wasting ",Mebendazole 400 mg/day for 20-30 days . Albendazole is also effective.,Cook fish thoroughly. Avoid eating raw fish. Use sanitary toilet for waste disposal.
Chickenpox,"Appearance of reddish skin lesions which become blisters, weakness, muscle and joint pains, sudden onset of fever ",Rashes disappear within 1-2 weeks without treatment. Sponge bath/cold compress for fever. Warm shower daily (do not rub lesions). Plenty of fluids.,Avoid crowded areas. Isolate patient. Vaccine is available.
Cholera,"Sudden onset of frequent painless watery stools, vomiting, rapid dehydration ","Replace lost body fluid with Oral Rehydration Solution (ORESOL) or homemade solution. If diarrhea persists, consult health workers.",Drink safe/clean water (boil/chlorinate if unsure) . Cover food. Wash/cook food properly. Dispose waste properly. Clean toilet daily and wash hands . Oral cholera vaccine.
Dengue,"Sudden high fever (2-7 days), joint/muscle pain, pain behind eyes, weakness, skin rashes, nosebleeding, abdominal pain, vomiting coffee-colored matter, dark stools, difficulty breathing ","Do not give aspirin. Rehydrate. If fever/symptoms persist for 2+ days, bring to hospital.","Search and destroy breeding sites (cover drums, replace vase water, clean gutters, dispose cans/tires) . Wear long pants/sleeves. Use mosquito repellant. Seek early consultation. Fogging if impending outbreak."
Diarrhea,"Passage of watery stools at least 3 times a day, excessive thirst, sunken eyeballs, sunken fontanel in infants ",Give Oral Rehydration Solution (ORESOL) or rice soup. Continued feeding is important.,Drink safe water. Eat well-cooked food. Avoid street-vended food. Cover food. Wash fruits/vegetables. Use toilet. Wash hands.
Diphtheria,"Sore throat, hoarseness, painful swallowing, swollen neck glands, thick gray membrane on throat/tonsils, difficulty breathing, nasal discharge, fever, chills, malaise ",Antitoxin injected into vein or muscle. Antibiotics such as penicillin or erythromycin.,Immunize infants with three doses of DPT.
Ebola Reston,"Sudden onset of fever, intense weakness, muscle pain, headache, sore throat, vomiting, diarrhea, rash, impaired kidney/liver function, internal/external bleeding ",No standard treatment.,"Wear protective clothing (masks, gloves, gowns, goggles). Use infection-control measures and isolation. Avoid contact with blood/secretions."
Filariasis,"Pain and swelling of breast, vagina, scrotum, legs, and arms; fever, cough, chills, wheezing ",Selective treatment with DEC (Diethylcarbamazine Citrate) . Mass treatment with DEC and albendazole .,Wear long-sleeved shirt and long pants in endemic areas. Sleep under mosquito net or use repellant.
Hand Foot and Mouth Disease (HFMD),"Fever, sore throat, malaise, painful red blister-like lesions on tongue/gums/cheeks, red rash on palms/soles/buttocks, irritability in infants, loss of appetite ",Treatment is directed toward relief of symptoms (fever/sore throat). Topical oral anesthetic for mouth sores. Over-the-counter pain medications (acetaminophen/ibuprofen).,Good hygiene (proper handwashing). Disinfect premises and infected materials.
Hepatitis A,"Fever, flu-like symptoms, vomiting, tiredness, abdominal discomfort, dark/brownish urine, jaundice ","No specific medicine. Isolation, rest, plenty of fluids, avoid fatty foods. Intravenous fluids if needed.",Wash hands. Dispose waste properly. Thoroughly cook shellfish. Safe food handling. Hepatitis A vaccine.
Hepatitis B,"Weakness, stomach upset, dark urine or very pale stools, jaundice ",None.,Immunization of infants (3 doses). Hepatitis B immunoglobulin for newborns of positive mothers. Use safe/clean injection equipment. Vaccination of adults in high-risk settings. Use condoms.
Hepatitis C,"Headache, nausea, vomiting, abdominal pain, jaundice, weakness, fatigue, dark yellow urine, light-colored stools, yellowish eyes ",Medicines such as interferon and ribavirin (do not cure but make people feel better).,Use condoms. Do not share injecting devices. Wear gloves if touching blood. Do not share toothbrush/razor. Ensure clean tools for tattooing.
HIV/AIDS,"Early: fever, fatigue, swollen lymph nodes, diarrhea, weight loss, cough, shortness of breath. Primary: fever, muscle soreness, rash, headache, sore throat, mouth/genital ulcers, swollen glands, joint pain, night sweats ",No cure; medications can slow down progression.,Sexual intercourse within monogamous relationship. Use male latex condoms. Use clean needles.
Influenza,"Fever of at least 38C, headache, runny nose, sore throat, cough, muscle or joint pains ","Antiviral agents (oseltamivir or zanamivir) within first 2 days. Rest, fluids, nutritious foods . Paracetamol for fever (no aspirin for children). Antibiotics only for complications.",Influenza vaccination. Minimize contact with sick persons. Avoid crowds. Distance at least 1 meter. Cover mouth/nose. Wash hands.
Japanese Encephalitis,"Flu-like illness (fever, chills, tiredness, headache, nausea, vomiting), confusion and agitation in early stage ",No specific treatment; treat symptoms and complications.,"Get vaccinated. Avoid mosquito bites. Minimize outdoor activities at dusk/dawn. Use repellant, screens, mosquito nets ."
